Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000002.12	27625638	27629012	2	minus	coiled-coil domain containing 121	CCDC121	79635	protein-coding	NM_024584.5	NP_078860.2	278	
NC_000002.12	27628247	27651511	2	plus	GPN-loop GTPase 1	GPN1	11321	protein-coding	NM_007266.4	NP_009197.3	374	
NC_000002.12	27642568	27663614	2	minus	SPT7 like, STAGA complex subunit gamma	SUPT7L	9913	protein-coding	NM_014860.3	NP_055675.1	414	
NC_000002.12	27663889	27694969	2	plus	solute carrier family 4 member 1 adaptor protein	SLC4A1AP	22950	protein-coding	NM_018158.3	NP_060628.3	742	
NC_000002.12	27771719	27779733	2	plus	mitochondrial ribosomal protein L33	MRPL33	9553	protein-coding	NM_004891.4	NP_004882.1	65	
NC_000002.12	27781379	27890387	2	minus	ribokinase	RBKS	64080	protein-coding	NM_022128.3	NP_071411.1	322	
NC_000002.12	27888709	28338901	2	plus	BRISC and BRCA1 A complex member 2	BABAM2	9577	protein-coding	NM_004899.5	NP_004890.2	415	
NC_000002.12	28392858	28417317	2	plus	FOS like 2, AP-1 transcription factor subunit	FOSL2	2355	protein-coding	NM_005253.4	NP_005244.1	326	
NC_000002.12	28496060	28644142	2	plus	phospholipase B1	PLB1	151056	protein-coding	NM_153021.5	NP_694566.4	1458	
NC_000002.12	28751604	28802940	2	plus	protein phosphatase 1 catalytic subunit beta	PPP1CB	5500	protein-coding	NM_002709.3	NP_002700.1	327	
NC_000002.12	28810834	28850610	2	plus	speedy/RINGO cell cycle regulator family member A	SPDYA	245711	protein-coding	NM_182756.4	NP_877433.2	313	
NC_000002.12	28849821	28870309	2	minus	tRNA methyltransferase 61B	TRMT61B	55006	protein-coding	NM_017910.4	NP_060380.3	477	
NC_000002.12	28894667	28948219	2	plus	WD repeat domain 43	WDR43	23160	protein-coding	NM_015131.3	NP_055946.1	677	
NC_000002.12	28956518	29052230	2	plus	TOG array regulator of axonemal microtubules 2	TOGARAM2	165186	protein-coding	NM_199280.4	NP_954974.2	1019	
NC_000002.12	29061695	29074523	2	minus	photoreceptor cilium actin regulator	PCARE	388939	protein-coding	NM_001029883.3	NP_001025054.1	1288	
NC_000002.12	29097726	29183808	2	plus	CAP-Gly domain containing linker protein family member 4	CLIP4	79745	protein-coding	NM_024692.6	NP_078968.3	705	
NC_000002.12	29192774	29921586	2	minus	ALK receptor tyrosine kinase	ALK	238	protein-coding	NM_004304.5	NP_004295.2	1620	
NC_000002.12	30147007	30160533	2	plus	yippee like 5	YPEL5	51646	protein-coding	NM_016061.3	NP_057145.1	121	
NC_000002.12	30231534	30260028	2	plus	LBH regulator of WNT signaling pathway	LBH	81606	protein-coding	NM_030915.4	NP_112177.2	105	
NC_000002.12	30447246	30644225	2	plus	lysocardiolipin acyltransferase 1	LCLAT1	253558	protein-coding	NM_182551.5	NP_872357.2	414	
NC_000002.12	30722771	30807446	2	minus	calpain 13	CAPN13	92291	protein-coding	NM_144575.3	NP_653176.2	669	
NC_000002.12	30886782	31138440	2	minus	polypeptide N-acetylgalactosaminyltransferase 14	GALNT14	79623	protein-coding	NM_024572.4	NP_078848.2	552	
NC_000002.12	31173056	31233957	2	minus	calpain 14	CAPN14	440854	protein-coding	NM_001145122.2	NP_001138594.1	684	
NC_000002.12	31234152	31269451	2	plus	EH domain containing 3	EHD3	30845	protein-coding	NM_014600.3	NP_055415.1	535	
NC_000002.12	31334321	31414742	2	minus	xanthine dehydrogenase	XDH	7498	protein-coding	NM_000379.4	NP_000370.2	1333	
NC_000002.12	31522480	31663009	2	minus	steroid 5 alpha-reductase 2	SRD5A2	6716	protein-coding	NM_000348.4	NP_000339.2	254	
NC_000002.12	31867823	32011008	2	minus	mediator of cell motility 1	MEMO1	51072	protein-coding	NM_015955.5	NP_057039.1	297	
NC_000002.12	32011649	32039835	2	minus	dpy-30 histone methyltransferase complex regulatory subunit	DPY30	84661	protein-coding	NM_032574.4	NP_115963.1	99	
NC_000002.12	32063556	32157637	2	plus	spastin	SPAST	6683	protein-coding	NM_014946.4	NP_055761.2	616	
NC_000002.12	32165864	32224379	2	plus	solute carrier family 30 member 6	SLC30A6	55676	protein-coding	NM_017964.5	NP_060434.2	461	
NC_000002.12	32224449	32265743	2	minus	NLR family CARD domain containing 4	NLRC4	58484	protein-coding	NM_021209.4	NP_067032.3	1024	
NC_000002.12	32277904	32316594	2	plus	Yip1 domain family member 4	YIPF4	84272	protein-coding	NM_032312.4	NP_115688.1	244	
NC_000002.12	32357023	32618878	2	plus	baculoviral IAP repeat containing 6	BIRC6	57448	protein-coding	NM_016252.4	NP_057336.3	4857	
NC_000002.12	32628050	32821051	2	plus	tetratricopeptide repeat domain 27	TTC27	55622	protein-coding	NM_017735.5	NP_060205.3	843	
NC_000002.12	32946953	33399509	2	plus	latent transforming growth factor beta binding protein 1	LTBP1	4052	protein-coding	NM_000627.4	NP_000618.4	1395	
NC_000002.12	33436348	33564731	2	plus	RAS guanyl releasing protein 3	RASGRP3	25780	protein-coding	NM_015376.3	NP_056191.1	689	
NC_000002.12	33583660	33599299	2	minus	family with sequence similarity 98 member A	FAM98A	25940	protein-coding	NM_015475.5	NP_056290.3	518	
NC_000002.12	36355778	36551135	2	plus	cysteine rich transmembrane BMP regulator 1	CRIM1	51232	protein-coding	NM_016441.3	NP_057525.1	1036	
NC_000002.12	36552258	36598168	2	minus	fasciculation and elongation protein zeta 2	FEZ2	9637	protein-coding	NM_005102.3	NP_005093.2	353	
NC_000002.12	36696707	36814794	2	plus	vitrin	VIT	5212	protein-coding	NM_053276.4	NP_444506.2	693	
NC_000002.12	36837698	36966536	2	minus	striatin	STRN	6801	protein-coding	NM_003162.4	NP_003153.2	780	
NC_000002.12	36980895	37084372	2	minus	HEAT repeat containing 5B	HEATR5B	54497	protein-coding	NM_019024.3	NP_061897.1	2071	
NC_000002.12	37084518	37099244	2	plus	G-patch domain containing 11	GPATCH11	253635	protein-coding	NM_174931.4	NP_777591.4	263	
NC_000002.12	37099210	37156980	2	minus	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	5610	protein-coding	NM_002759.4	NP_002750.1	551	
NC_000002.12	37167820	37196087	2	minus	sulfotransferase family 6B member 1	SULT6B1	391365	protein-coding	NM_001032377.2	NP_001027549.1	265	
NC_000002.12	37196496	37216193	2	plus	CEBPZ opposite strand	CEBPZOS	100505876	protein-coding	NM_001322373.2	NP_001309302.1	80	
NC_000002.12	37201612	37231596	2	minus	CCAAT enhancer binding protein zeta	CEBPZ	10153	protein-coding	NM_005760.3	NP_005751.2	1054	
NC_000002.12	37231658	37271365	2	plus	NADH:ubiquinone oxidoreductase complex assembly factor 7	NDUFAF7	55471	protein-coding	NM_144736.5	NP_653337.1	441	
NC_000002.12	37250502	37324833	2	minus	protein kinase D3	PRKD3	23683	protein-coding	NM_005813.6	NP_005804.1	890	
NC_000002.12	37344630	37373322	2	plus	glutaminyl-peptide cyclotransferase	QPCT	25797	protein-coding	NM_012413.4	NP_036545.1	361	
NC_000002.12	37641944	37672949	2	minus	CDC42 effector protein 3	CDC42EP3	10602	protein-coding	NM_006449.5	NP_006440.2	254	
NC_000002.12	37920901	38067138	2	plus	regulator of microtubule dynamics 2	RMDN2	151393	protein-coding	NM_144713.5	NP_653314.3	573	
NC_000002.12	38067509	38076151	2	minus	cytochrome P450 family 1 subfamily B member 1	CYP1B1	1545	protein-coding	NM_000104.4	NP_000095.2	543	
NC_000002.12	38293954	38378584	2	minus	atlastin GTPase 2	ATL2	64225	protein-coding	NM_022374.5	NP_071769.2	579	
NC_000002.12	38561969	38602928	2	minus	heterogeneous nuclear ribonucleoprotein L like	HNRNPLL	92906	protein-coding	NM_138394.4	NP_612403.2	542	
NC_000002.12	38666114	38734765	2	plus	galactose mutarotase	GALM	130589	protein-coding	NM_138801.3	NP_620156.1	342	
NC_000002.12	38743599	38751494	2	minus	serine and arginine rich splicing factor 7	SRSF7	6432	protein-coding	NM_001031684.3	NP_001026854.1	238	
NC_000002.12	38778210	38785002	2	plus	gem nuclear organelle associated protein 6	GEMIN6	79833	protein-coding	NM_024775.10	NP_079051.9	167	
NC_000002.12	38797729	38875934	2	minus	DExH-box helicase 57	DHX57	90957	protein-coding	NM_198963.3	NP_945314.1	1386	
NC_000002.12	38875976	38882709	2	plus	MORN repeat containing 2	MORN2	729967	protein-coding	NM_001145450.3	NP_001138922.2	151	
NC_000002.12	38889875	38975454	2	plus	Rho guanine nucleotide exchange factor 33	ARHGEF33	100271715	protein-coding	NM_001145451.5	NP_001138923.2	870	
NC_000002.12	38981549	39124868	2	minus	SOS Ras/Rac guanine nucleotide exchange factor 1	SOS1	6654	protein-coding	NM_005633.4	NP_005624.2	1333	
NC_000002.12	39168045	39247120	2	minus	cyclin dependent kinase like 4	CDKL4	344387	protein-coding	NM_001009565.2	NP_001009565.1	315	
NC_000002.12	39249266	39437285	2	minus	mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	8491	protein-coding	NM_003618.4	NP_003609.2	894	
NC_000002.12	39665483	39735960	2	plus	transmembrane protein 178A	TMEM178A	130733	protein-coding	NM_152390.3	NP_689603.2	297	
NC_000002.12	39736060	39779276	2	minus	THUMP domain containing 2	THUMPD2	80745	protein-coding	NM_025264.5	NP_079540.2	503	
NC_000002.12	40097270	40512435	2	minus	solute carrier family 8 member A1	SLC8A1	6546	protein-coding	NM_021097.5	NP_066920.1	973	
NC_000002.12	42048021	42058517	2	plus	protein kinase domain containing, cytoplasmic	PKDCC	91461	protein-coding	NM_138370.3	NP_612379.2	493	
NC_000002.12	42169353	42332548	2	plus	EMAP like 4	EML4	27436	protein-coding	NM_019063.5	NP_061936.3	981	
NC_000002.12	42335559	42368957	2	minus	cytochrome c oxidase subunit 7A2 like	COX7A2L	9167	protein-coding	NM_004718.4	NP_004709.2	114	
NC_000002.12	42388352	42493982	2	minus	potassium voltage-gated channel modifier subfamily G member 3	KCNG3	170850	protein-coding	NM_133329.6	NP_579875.1	436	
NC_000002.12	42494110	42756946	2	plus	metastasis associated 1 family member 3	MTA3	57504	protein-coding	NM_020744.4	NP_065795.1	515	
NC_000002.12	42762499	42764135	2	minus	oxoeicosanoid receptor 1	OXER1	165140	protein-coding	NM_148962.5	NP_683765.2	384	
NC_000002.12	42767089	42792583	2	minus	3-hydroxyanthranilate 3,4-dioxygenase	HAAO	23498	protein-coding	NM_012205.3	NP_036337.2	286	
NC_000002.12	43064045	43102445	2	minus	uncharacterized LOC107985876	LOC107985876	107985876	protein-coding	XM_017005460.2	XP_016860949.1	306	
NC_000002.12	43222402	43226606	2	minus	ZFP36 ring finger protein like 2	ZFP36L2	678	protein-coding	NM_006887.5	NP_008818.3	494	
NC_000002.12	43230851	43596038	2	minus	THADA armadillo repeat containing	THADA	63892	protein-coding	NM_022065.5	NP_071348.3	1953	
NC_000002.12	43637260	43767987	2	plus	pleckstrin homology, MyTH4 and FERM domain containing H2	PLEKHH2	130271	protein-coding	NM_172069.4	NP_742066.2	1493	
NC_000002.12	43675151	43676429	2	minus	C1GALT1 specific chaperone 1 like	C1GALT1C1L	728819	protein-coding	NM_001101330.3	NP_001094800.1	315	
NC_000002.12	43774039	43828347	2	plus	dynein cytoplasmic 2 light intermediate chain 1	DYNC2LI1	51626	protein-coding	NM_015522.4	NP_056337.1	201	
NC_000002.12	43806211	43839231	2	minus	ATP binding cassette subfamily G member 5	ABCG5	64240	protein-coding	NM_022436.3	NP_071881.1	651	
NC_000002.12	43838971	43882988	2	plus	ATP binding cassette subfamily G member 8	ABCG8	64241	protein-coding	NM_022437.3	NP_071882.1	673	
NC_000002.12	43886224	43996265	2	minus	leucine rich pentatricopeptide repeat containing	LRPPRC	10128	protein-coding	NM_133259.4	NP_573566.2	1394	
NC_000002.12	44168875	44246928	2	plus	protein phosphatase, Mg2+/Mn2+ dependent 1B	PPM1B	5495	protein-coding	NM_002706.6	NP_002697.1	479	
NC_000002.12	44275480	44322437	2	plus	solute carrier family 3 member 1	SLC3A1	6519	protein-coding	NM_000341.4	NP_000332.2	685	
NC_000002.12	44317607	44361862	2	minus	prolyl endopeptidase like	PREPL	9581	protein-coding	NM_006036.4	NP_006027.2	727	
NC_000002.12	44361947	44772592	2	plus	calmodulin-lysine N-methyltransferase	CAMKMT	79823	protein-coding	NM_024766.5	NP_079042.1	323	
NC_000002.12	44941702	44946071	2	plus	SIX homeobox 3	SIX3	6496	protein-coding	NM_005413.4	NP_005404.1	332	
NC_000002.12	45005182	45009452	2	minus	SIX homeobox 2	SIX2	10736	protein-coding	NM_016932.5	NP_058628.3	291	
NC_000002.12	45388680	45611267	2	minus	S1 RNA binding domain 1	SRBD1	55133	protein-coding	NM_018079.5	NP_060549.4	995	
NC_000002.12	45651279	46187990	2	plus	protein kinase C epsilon	PRKCE	5581	protein-coding	NM_005400.3	NP_005391.1	737	
NC_000002.12	46297407	46386697	2	plus	endothelial PAS domain protein 1	EPAS1	2034	protein-coding	NM_001430.5	NP_001421.2	870	
NC_000002.12	46479565	46484425	2	plus	transmembrane protein 247	TMEM247	388946	protein-coding	NM_001424184.1	NP_001411113.1	219	
NC_000002.12	46511847	46542577	2	minus	ATPase H+ transporting V1 subunit E2	ATP6V1E2	90423	protein-coding	NM_001318063.2	NP_001304992.1	226	
NC_000002.12	46542490	46584688	2	plus	ras homolog family member Q	RHOQ	23433	protein-coding	NM_012249.4	NP_036381.2	205	
NC_000002.12	46580937	46617041	2	minus	phosphatidylinositol glycan anchor biosynthesis class F	PIGF	5281	protein-coding	NM_002643.4	NP_002634.1	219	
NC_000002.12	46617215	46630176	2	plus	CXXC repeat containing interactor of PDZ3 domain	CRIPT	9419	protein-coding	NM_014171.6	NP_054890.1	101	
NC_000002.12	46698937	46763129	2	plus	suppressor of cytokine signaling 5	SOCS5	9655	protein-coding	NM_014011.5	NP_054730.1	536	
NC_000002.12	46901870	46941855	2	minus	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	MCFD2	90411	protein-coding	NM_139279.6	NP_644808.1	146	
NC_000002.12	46915866	47076123	2	plus	tetratricopeptide repeat domain 7A	TTC7A	57217	protein-coding	NM_020458.4	NP_065191.2	858	
NC_000002.12	47086991	47155308	2	minus	sperm-tail PG-rich repeat containing 4	STPG4	285051	protein-coding	NM_173649.3	NP_775920.1	177	
NC_000002.12	47160082	47176936	2	minus	calmodulin 2	CALM2	805	protein-coding	NM_001743.6	NP_001734.1	149	
NC_000002.12	47369311	47387020	2	plus	epithelial cell adhesion molecule	EPCAM	4072	protein-coding	NM_002354.3	NP_002345.2	314	
NC_000002.12	47403067	47709830	2	plus	mutS homolog 2	MSH2	4436	protein-coding	NM_000251.3	NP_000242.1	934	
NC_000002.12	47509290	47570985	2	minus	potassium two pore domain channel subfamily K member 12	KCNK12	56660	protein-coding	NM_022055.2	NP_071338.1	430	
NC_000002.12	47783145	47810101	2	plus	mutS homolog 6	MSH6	2956	protein-coding	NM_000179.3	NP_000170.1	1360	
NC_000002.12	47806920	47906498	2	minus	F-box protein 11	FBXO11	80204	protein-coding	NM_025133.4	NP_079409.3	843	
NC_000002.12	48313659	48379295	2	plus	forkhead box N2	FOXN2	3344	protein-coding	NM_002158.4	NP_002149.2	431	
NC_000002.12	48440766	48515386	2	plus	protein phosphatase 1 regulatory subunit 21	PPP1R21	129285	protein-coding	NM_152994.5	NP_694539.1	769	
NC_000002.12	48529925	48776519	2	plus	STON1-GTF2A1L readthrough	STON1-GTF2A1L	286749	protein-coding	NM_172311.3	NP_758515.1	1182	
NC_000002.12	48530154	48598513	2	plus	stonin 1	STON1	11037	protein-coding	NM_006873.4	NP_006864.2	735	
NC_000002.12	48617856	48679604	2	plus	general transcription factor IIA subunit 1 like	GTF2A1L	11036	protein-coding	NM_006872.5	NP_006863.2	478	
NC_000002.12	48686774	48755724	2	minus	luteinizing hormone/choriogonadotropin receptor	LHCGR	3973	protein-coding	NM_000233.4	NP_000224.2	699	
NC_000002.12	48962157	49154515	2	minus	follicle stimulating hormone receptor	FSHR	2492	protein-coding	NM_000145.4	NP_000136.2	695	
NC_000002.12	49563388	49659056	2	plus	uncharacterized LOC124906005	LOC124906005	124906005	protein-coding	XM_047446571.1	XP_047302527.1	117	
NC_000002.12	49918503	51032132	2	minus	neurexin 1	NRXN1	9378	protein-coding	NM_004801.6	NP_004792.1	1477	
NC_000002.12	53669980	53786953	2	minus	ankyrin repeat and SOCS box containing 3	ASB3	51130	protein-coding	NM_016115.5	NP_057199.1	518	
NC_000002.12	53670293	53859967	2	minus	GPR75-ASB3 readthrough	GPR75-ASB3	100302652	protein-coding	NM_001164165.2	NP_001157637.1	556	
NC_000002.12	53767783	53775196	2	plus	ChaC glutathione specific gamma-glutamylcyclotransferase 2	CHAC2	494143	protein-coding	NM_001008708.4	NP_001008708.1	184	
NC_000002.12	53787044	53818796	2	plus	endoplasmic reticulum lectin 1	ERLEC1	27248	protein-coding	NM_015701.5	NP_056516.2	483	
NC_000002.12	53852912	53859967	2	minus	G protein-coupled receptor 75	GPR75	10936	protein-coding	NM_006794.4	NP_006785.1	540	
NC_000002.12	53864069	53970993	2	minus	proteasome activator subunit 4	PSME4	23198	protein-coding	NM_014614.3	NP_055429.2	1843	
NC_000002.12	53971113	54305300	2	plus	acylphosphatase 2	ACYP2	98	protein-coding	NM_138448.4	NP_612457.1	99	
NC_000002.12	54253178	54256229	2	minus	TSPY like 6	TSPYL6	388951	protein-coding	NM_001003937.3	NP_001003937.2	410	
NC_000002.12	54330884	54384193	2	plus	ciliary microtubule inner protein 6	CIMIP6	129852	protein-coding	NM_001100396.2	NP_001093866.1	287	
NC_000002.12	54456327	54671446	2	plus	spectrin beta, non-erythrocytic 1	SPTBN1	6711	protein-coding	NM_003128.3	NP_003119.2	2364	
NC_000002.12	54723552	54972025	2	plus	EMAP like 6	EML6	400954	protein-coding	NM_001039753.4	NP_001034842.2	1958	
NC_000002.12	54972189	55137831	2	minus	reticulon 4	RTN4	57142	protein-coding	NM_007008.3	NP_008939.1	199	
NC_000002.12	55172547	55232563	2	minus	clathrin heavy chain linker domain containing 1	CLHC1	130162	protein-coding	NM_152385.4	NP_689598.2	586	
NC_000002.12	55231903	55235853	2	plus	ribosomal protein S27a	RPS27A	6233	protein-coding	NM_002954.6	NP_002945.1	156	
NC_000002.12	55236595	55269248	2	minus	mitochondrial translational initiation factor 2	MTIF2	4528	protein-coding	NM_002453.3	NP_002444.2	727	
NC_000002.12	55287842	55419856	2	minus	coiled-coil domain containing 88A	CCDC88A	55704	protein-coding	NM_018084.5	NP_060554.3	1843	
NC_000002.12	55519718	55545079	2	plus	cilia and flagella associated protein 36	CFAP36	112942	protein-coding	NM_080667.7	NP_542398.3	342	
NC_000002.12	55547292	55617622	2	minus	protein phosphatase 4 regulatory subunit 3B	PPP4R3B	57223	protein-coding	NM_020463.4	NP_065196.1	764	
NC_000002.12	55634061	55693844	2	minus	polyribonucleotide nucleotidyltransferase 1	PNPT1	87178	protein-coding	NM_033109.5	NP_149100.2	783	
NC_000002.12	55865967	55923782	2	minus	EGF containing fibulin extracellular matrix protein 1	EFEMP1	2202	protein-coding	NM_001039348.3	NP_001034437.1	493	
NC_000002.12	56183852	56386174	2	plus	coiled-coil domain containing 85A	CCDC85A	114800	protein-coding	NM_001080433.2	NP_001073902.1	553	
NC_000002.12	57907592	58159920	2	plus	VRK serine/threonine kinase 2	VRK2	7444	protein-coding	NM_006296.7	NP_006287.2	508	
NC_000002.12	58159243	58241380	2	minus	FA complementation group L	FANCL	55120	protein-coding	NM_018062.4	NP_060532.2	375	
NC_000002.12	60402169	60439819	2	minus	uncharacterized LOC124906010	LOC124906010	124906010	protein-coding	XM_047446573.1	XP_047302529.1	121	
NC_000002.12	60450520	60553924	2	minus	BCL11 transcription factor A	BCL11A	53335	protein-coding	NM_018014.4	NP_060484.2	773	
NC_000002.12	60756268	60802086	2	plus	poly(A) polymerase gamma	PAPOLG	64895	protein-coding	NM_022894.4	NP_075045.2	736	
NC_000002.12	60881574	60931612	2	plus	REL proto-oncogene, NF-kB subunit	REL	5966	protein-coding	NM_002908.4	NP_002899.1	619	
NC_000002.12	60940223	61018259	2	minus	pseudouridine synthase 10	PUS10	150962	protein-coding	NM_144709.4	NP_653310.2	529	
NC_000002.12	61017720	61051990	2	plus	peroxisomal biogenesis factor 13	PEX13	5194	protein-coding	NM_002618.4	NP_002609.1	403	
NC_000002.12	61065871	61138032	2	plus	SANT and BTB domain regulator of CSR	SANBR	84542	protein-coding	NM_032506.4	NP_115895.2	707	
NC_000002.12	61145116	61164828	2	plus	chromosome 2 open reading frame 74	C2orf74	339804	protein-coding	NM_001143959.4	NP_001137431.2	187	
NC_000002.12	61187463	61471087	2	minus	ubiquitin specific peptidase 34	USP34	9736	protein-coding	NM_014709.4	NP_055524.3	3546	
NC_000002.12	61477849	61538612	2	minus	exportin 1	XPO1	7514	protein-coding	NM_003400.4	NP_003391.1	1071	
NC_000002.12	61800240	61854060	2	minus	FAM161 centrosomal protein A	FAM161A	84140	protein-coding	NM_032180.3	NP_115556.2	660	
NC_000002.12	61868085	61888671	2	minus	chaperonin containing TCP1 subunit 4	CCT4	10575	protein-coding	NM_006430.4	NP_006421.2	539	
NC_000002.12	61888391	62136058	2	plus	copper metabolism domain containing 1	COMMD1	150684	protein-coding	NM_152516.4	NP_689729.1	190	
NC_000002.12	62196115	62224731	2	plus	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	B3GNT2	10678	protein-coding	NM_006577.6	NP_006568.2	397	
NC_000002.12	62453531	62506195	2	minus	transmembrane protein 17	TMEM17	200728	protein-coding	NM_198276.3	NP_938017.2	198	
NC_000002.12	62673878	63046487	2	plus	EH domain binding protein 1	EHBP1	23301	protein-coding	NM_015252.5	NP_056067.2	1231	
NC_000002.12	63049735	63057831	2	plus	orthodenticle homeobox 1	OTX1	5013	protein-coding	NM_014562.4	NP_055377.1	354	
NC_000002.12	63119559	63840826	2	minus	WD repeat containing planar cell polarity effector	WDPCP	51057	protein-coding	NM_015910.7	NP_056994.3	746	
NC_000002.12	63588963	63607197	2	plus	malate dehydrogenase 1	MDH1	4190	protein-coding	NM_005917.4	NP_005908.1	334	
NC_000002.12	63840969	63891560	2	plus	UDP-glucose pyrophosphorylase 2	UGP2	7360	protein-coding	NM_006759.4	NP_006750.3	508	
NC_000002.12	63892150	64019428	2	minus	VPS54 subunit of GARP complex	VPS54	51542	protein-coding	NM_016516.3	NP_057600.2	977	
NC_000002.12	64092652	64144420	2	minus	pellino E3 ubiquitin protein ligase 1	PELI1	57162	protein-coding	NM_020651.4	NP_065702.2	418	
NC_000002.12	64454162	64461381	2	plus	galectin like	LGALSL	29094	protein-coding	NM_014181.3	NP_054900.2	172	
NC_000002.12	64524328	64593005	2	plus	aftiphilin	AFTPH	54812	protein-coding	NM_017657.5	NP_060127.3	909	
NC_000002.12	64631621	64653913	2	minus	SERTA domain containing 2	SERTAD2	9792	protein-coding	NM_014755.3	NP_055570.1	314	
NC_000002.12	64654071	64655223	2	plus	uncharacterized LOC124907776	LOC124907776	124907776	protein-coding	XM_047446580.1	XP_047302536.1	143	
NC_000002.12	64988479	65023865	2	plus	solute carrier family 1 member 4	SLC1A4	6509	protein-coding	NM_003038.5	NP_003029.2	532	
NC_000002.12	65056416	65087004	2	plus	centrosomal protein 68	CEP68	23177	protein-coding	NM_015147.3	NP_055962.2	757	
NC_000002.12	65086854	65130106	2	minus	RAB1A, member RAS oncogene family	RAB1A	5861	protein-coding	NM_004161.5	NP_004152.1	205	
NC_000002.12	65227831	65271253	2	plus	actin related protein 2	ACTR2	10097	protein-coding	NM_005722.4	NP_005713.1	394	
NC_000002.12	65307175	65432599	2	minus	sprouty related EVH1 domain containing 2	SPRED2	200734	protein-coding	NM_181784.3	NP_861449.2	418	
NC_000002.12	66435125	66573869	2	plus	Meis homeobox 1	MEIS1	4211	protein-coding	NM_002398.3	NP_002389.1	390	
NC_000002.12	67397333	67412089	2	plus	ETAA1 activator of ATR kinase	ETAA1	54465	protein-coding	NM_019002.4	NP_061875.2	926	
NC_000002.12	68041130	68063004	2	minus	C1D nuclear receptor corepressor	C1D	10438	protein-coding	NM_006333.4	NP_006324.1	141	
NC_000002.12	68129805	68157527	2	minus	dynein axonemal assembly factor 10	DNAAF10	116143	protein-coding	NM_138458.4	NP_612467.1	357	
NC_000002.12	68157888	68176238	2	plus	partner of NOB1 homolog	PNO1	56902	protein-coding	NM_020143.4	NP_064528.1	252	
NC_000002.12	68178857	68252532	2	minus	protein phosphatase 3 regulatory subunit B, alpha	PPP3R1	5534	protein-coding	NM_000945.4	NP_000936.1	170	
NC_000002.12	68284171	68319949	2	minus	cannabinoid receptor interacting protein 1	CNRIP1	25927	protein-coding	NM_015463.3	NP_056278.1	164	
NC_000002.12	68365282	68397453	2	plus	pleckstrin	PLEK	5341	protein-coding	NM_002664.3	NP_002655.2	350	
NC_000002.12	68459422	68467294	2	minus	F-box protein 48	FBXO48	554251	protein-coding	NM_001024680.3	NP_001019851.1	155	
NC_000002.12	68467585	68580162	2	plus	aprataxin and PNKP like factor	APLF	200558	protein-coding	NM_173545.3	NP_775816.1	511	
NC_000002.12	68643579	68658251	2	plus	prokineticin receptor 1	PROKR1	10887	protein-coding	NM_138964.4	NP_620414.1	393	
NC_000002.12	68710544	68826833	2	plus	Rho GTPase activating protein 25	ARHGAP25	9938	protein-coding	NM_014882.3	NP_055697.1	638	
NC_000002.12	68860909	68871397	2	minus	bone morphogenetic protein 10	BMP10	27302	protein-coding	NM_014482.3	NP_055297.1	424	
NC_000002.12	68945232	68952893	2	minus	gastrokine 2	GKN2	200504	protein-coding	NM_182536.3	NP_872342.2	184	
NC_000002.12	68974636	68980976	2	plus	gastrokine 1	GKN1	56287	protein-coding	NM_019617.4	NP_062563.4	185	
NC_000002.12	69013144	69249327	2	plus	ANTXR cell adhesion molecule 1	ANTXR1	84168	protein-coding	NM_018153.3	NP_060623.2	333	
NC_000002.12	69319780	69387227	2	minus	glutamine--fructose-6-phosphate transaminase 1	GFPT1	2673	protein-coding	NM_002056.4	NP_002047.2	681	
NC_000002.12	69395750	69439567	2	minus	NFU1 iron-sulfur cluster scaffold	NFU1	27247	protein-coding	NM_015700.4	NP_056515.2	230	
NC_000002.12	69457997	69643739	2	minus	AP2 associated kinase 1	AAK1	22848	protein-coding	NM_014911.5	NP_055726.4	961	
NC_000002.12	69643808	69827112	2	plus	annexin A4	ANXA4	307	protein-coding	NM_001153.5	NP_001144.1	321	
NC_000002.12	69829660	69881384	2	plus	germ cell-less 1, spermatogenesis associated	GMCL1	64395	protein-coding	NM_178439.5	NP_848526.1	515	
NC_000002.12	69893956	69905236	2	plus	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	SNRNP27	11017	protein-coding	NM_006857.3	NP_006848.1	155	
NC_000002.12	69915109	69942945	2	plus	MAX dimerization protein 1	MXD1	4084	protein-coding	NM_002357.4	NP_002348.1	221	
NC_000002.12	69932717	70087375	2	minus	aspartic peptidase retroviral like 1	ASPRV1	151516	protein-coding	NM_152792.4	NP_690005.3	259	
NC_000002.12	70087477	70089203	2	plus	poly(rC) binding protein 1	PCBP1	5093	protein-coding	NM_006196.4	NP_006187.2	356	
NC_000002.12	70149885	70191019	2	minus	chromosome 2 open reading frame 42	C2orf42	54980	protein-coding	NM_017880.3	NP_060350.1	574	
NC_000002.12	70209444	70248793	2	minus	TIA1 cytotoxic granule associated RNA binding protein	TIA1	7072	protein-coding	NM_022037.4	NP_071320.2	375	
NC_000002.12	70257915	70281185	2	plus	prenylcysteine oxidase 1	PCYOX1	51449	protein-coding	NM_016297.4	NP_057381.3	505	
